id,solution
3301,going_will do_well the_damage well_in boat_trip shaft_in repair_the the_chank MacDonald_. Ted_Poole S._Uffindell barrage_has chank_shaft expected_to J._MacDonald 930_a.m. the_trip trip_to Poole_was day_of trip_. finish_and a.m._on Uffindell_J. A_hill
3302,tions_of Re_gistrar ing_. service_fur Har_wrs improv_ing de_puty states_to rary_tp Memorial_Com birthday_celebra sta_tion to_morrow side_at confe_rence and_quartermastegenerai ._G. where_they be_improv Col_lege Avondale_sta Customs_DepartDr the_Har Payne_ham ._PlightLieut a_confe Mool_tan Switzer_land McKinnon_a the_Mool tute_at tion_in leave_tomor the_de the_Gov mittee_. pas_sengers tomor_row Mountford_) wrs_Board quartermastegenerai_for morrow_on )_Mr. lege_gained State_Re PlightLieut_. Roseworthy_Col tan_for puty_chairman gistrar_of Service_Insti for_merly DepartDr_. ler_High of_Switzer land_in Scholar_ship ernment_Scholar ship_in Gaw_ler they_investigated tp_gistrar are_pas pre_side will_pre merly_Provincial fur_lough and_Gaw Insti_tute Com_mittee of_Payne gistrar_. row_on sengers_for rence_of Kennedy_for celebra_tions ham_will castings_for Gov_ernment lough_.
3303,and_com alta_hill sults_of tute_on the_Mori J._MURPHY re_^ the_re ._J. April_22 uuui_mittee re_sults mittee_will are_re ^_mindetr- ._Excellent Adver_tiser Mori_alta Ramco_Insti ther_details Motors_Goodwood Atujara_AN 'The_Adver auuleu_uuui ._Fur MURPHY_Atujara Insti_tute 22_. plete_the tiser_' com_plete Fur_ther
3304,been_divided acre_. Mr._L. 1/4_sheep Gill_of divided_into 10acre_fields ._Over grazing_six field_was the_grazing four_10acre 1_1/4 40-acre_paddock tons_of of_lucern into_four Keith_had ._The established_40-acre 2.11_sheep Mr._W. at_1 six_tons {_Mr. unfertilised_field two_untreated paddock_of W._Gill untreated_. lucern_on unfertilised_fields L._J.
3305,an_out another_organisa him_to out_right meeting_Mr. over_will ``_unappreciative fol_lowing DARWIN_November monwealth-wide_appeal unappreciative_attitude Com_monwealth-wide tion_to lowing_the right_gift Councillor_J. destroyed_fol endeared_him organisa_tion J._Brogan Mayor_Councillor its_`` a_Com
3306,W._Mickan prov_ing them_selves ally_went feeding_for dicated_that wards_who ._Lox for_ward determ_ined the_for Mickan_D. ward_pocket Jol_ly a_determ dance_in two_quart splendid_interpre tralian_Umpires jun_ior ward_and Lox_ton ers_was Aus_tralian be_gun Kroemer_re Defeat_Renmark ing_. and_Ren sides_throw oppor_tunities com_panions throw_ing- panions_with the_ut ing-_in plaving_excel evi_dance gun_to Renmark_jun lead_Lox foot_ball when_them Mickan_prov tation_ol quart_ers re_ally the_Ren mark_ing ut_most arson_( in_evi Mickan_. lib_erties kept_at mark_skipper erties_they ing_a interpre_tation oval_in ly_; )_Rich Loxton_Defeat excel_lent of_oppor ball_as both_for tunities_. most_fast had_be tak_ing 's_mark A._Jol a_de selves_in South_Aus Warren_tak for_wards mark_was cided_change at_tacking ton_stuck ton_increased de_cided ior_was Rich_arson in_dicated tacking_all lent_rugged his_com ined_game saw_foot what_lib
3307,buz_ap the_cobble drove_A the_In ._dri Water_fall who_pro hSs_& over_. road_he ceived_a con_tinue be_disqualified believe_it lision_. car_he inter_vened then_con had_moved 's_car behind_him or_Mar rirnre_on 's_intention yards_after tinue_on he_said defendant_be in_Water defend_ant ven_a terrace_Wayville ap_proaching col_lision at_Halls tion_. aris_ing sta_tion of_Park his_windscreen an_other car_had Thomas_inter intention_to secuted_said ing_out ._pastoralist pedes_trian Ridden_by 's_head the_defen insured_motor ;_sxi hav_ing with_hav further_300 cobble_stones the_court months_. pastoralist_of master_mariner dant_and janh_appeared ing_on Cyril_Her defen_dant to_charges Decem_dent had_pulled surance_company the_defend counts_aris a_pedes of_EdgeI &_lt vened_. had_seen not_re Bo_janh proaching_the find_him Halls_worth roy_Thomas his_escape aiding_his head_lights Park_terrace ._Student own_car stones_at a_means had_then mariner_of named_in by_roy ground_. lt_; In_surance it_was and_be Wayville_that dent_between other_ctr and_an lights_had dri_ven railway_sta The_lights an_un bicycle_Ridden bert_Gregory 6_Bo said_. the_col worth_on charges_that 300_yards re_ceived fall_Gully I_find be_fined him_and pro_secuted Her_bert and_just ant_had on_Decem told_the collision_consti just_as pulled_alongside windscreen_shattered Mar_rirnre un_insured EdgeI_1 He_had him_he consti_tutes A_motor tutes_the trian_walking 28_master
3308,Francis_three T._Francis Kerslakc_38 41_B. innings_175 B._Poole )_. T._Kerslakc Poole_five (_M. wickets_. rubber_was 93_( two_wickets today_. 18_T. 30_) 51_) M._Petterson wickets_for eight_wickets ._The 38_A. Teams_representing was_discontinued representing_the )_: ._Teams for_30 innings_147 26_) the_failing South_Australian match_South to_the for_26 Trengove_six the_South
3309,beauty_Was a-flower_Had Poetry_MARY ''_For St._Luke cried_`` to_give lost_one heart_to soul_of if_you of_beauty impulse_That ``_Wherever ''_And the_impulse [_St. kindness_And A_lost wondrous_ray one_if Would_earthlies !_'' earthlies_name Original_Poetry said_`` the_soul give_; ``_Forbear were_soft
3310,the_Brewster miles_championship 19.28_; Nolan_was ._Virgin winning_lead opposite_the R._Burt took_a Camden_on 36_points the_Glenelg Following_were at_Ballarat ._With this_stage 20.45_; Moyle_60 of_40 Members_of State_five cup_. a_leg who_had the_South 17.34_; 20.10_17.48 cross-country_championship this_point Balarat_on ;_R. reaching_Unley held_a 16.22_; was_only who_was road_Meyer and_took Burt_and '_Club Webber_and ._Nolan :_R. first_time Nolan_started Clark_just at_Balarat championship_at reaching_Park run_from close_Nolan from_the parklands_. on_Norton beaten_for five_miles The_finishing west_parklands Green_Dragon consistency_cup Park_Bowling the_handicaps to_a Webber_also a_lead Park_terrace Virgin_at will_also Norton_and lead_from Meyer_the for_second Brewster_consistency the_season made_a 20.58_19.28 William_road 55_sec drawing_to third_position They_ran went_along K._Faulkner mites_cross-country 4_min Nettleton_. ._R. the_back who_will started_. Districts_Amateur young_runner 18._and reaching_King ._He 21.0_17.55 D_Stevenson a_great He_now Virgin_moving and_finished the_first ;_J. Burt_. Glenelg_Town point_passed South_terrace Howland_V. and_Unley K._Nettleton team_will ._Park The_team Webber_had run_into ._Those Virgin_13 ;_L. from_this Faulkner_P times_were Moyle_21.32 had_run Victorian_State Webber_finished together_. the_clubshed came_Moyle J._Kenyon Virgin_together clubshed_on passed_Virgin 2.30_: Anzac_Highway gone_nearly ._21.0 lead_of had_passed King_William the_west Hall_to ._The wins_the was_close Approaching_South just_before Adelaide_Harriers before_reaching night_. compete_in sec_. 20.12_16.22 Webber_18. and_actual 16.8_: ._20.45 passed_Moyle South_Park will_compete back_marks was_about B._Moyle ._Approaching miles_crosscountry nearly_half time_. 60_yards and_Nolan strong_position ._55 ?_Jolly has_36 Adelaide_by finishing_and 19.58_16.8 the_limit and_Clark Webber_19.58 were_running during_the Jolly_A. in_the ._A. next_Thursday position_. and_had Virgin_17.34 finished_opposite of_about Webber_was Saturday_held to_the on_Clark at_Camden Thursday_night was_badly then_came crosscountry_handicap ._1.50 by_50 but_he 17.55_: Those_who 1.38_: Nolan_is was_just had_a mile_took ._Meyer at_the Nolan_20.12 three-quarters_of and_Webber train_next ._They well_from Turning_into ._Turning had_to treatment_during course-through_the by_train the_State moving_up had_gone place_by West_terrace 250_yards the_Green also_run points_Carrie season_drawing and_for ran_for 21.32_19.22 great_run by_Clark min_. Meyer_before up_was to_win Meyer_had Highway_and he_made Dragon_Hotel participated_were were_K. Clark_who running_well Nolan_at Stevenson_will -_J. the_last Kenyon_. Club_who Clark_had a_close badly_spiked just_beaten Moyle_and Norton_20.58 leave_Adelaide 17.48_; ._who up_in 350_yards and_Burt ._Following Athletic_Club last_three-quarters lead_on P_? a_winning from_Clark Ballarat_. Amateur_Athletic run_at from_Meyer :_R A._Howland of_a ;_P. run_along close_up ._20.10 on_reaching Western_Districts finished_with along_South ._1.38 for_the 19.22_. and_then the_Victorian ._2.30 With_the :_- R_Clark Unley_road Webber_followed terrace_and receive_hospital ._Members Webber_made about_350 Virgin_was 9._ran time_since hospital_treatment were_: promising_young leg_and Martin_J. position_to yards_on will_leave pack_run 1.50_: were_the in_third on_West distance_wins 13_. man_. at_this 50_yards Club_and Town_Hall 20.45_20.45 V._Martin along_Anzac now_has also_gained —J-_Meyer Bowling_Club with_a the_Western is_in Burt_a limit_man actual_times a_pack a_course-through spiked_on yards_back took_the Nolan_were
3311,Mr._Wyle to_have will_take been_caused residents_died am.._He pm_. Wyle_was 3.30_pm the_local some_kind died_about 1.30_am.. kind_of respected_residents local_bowling have_been and_died take_place the_most
3312,gram_said only_ex called_that Menhen_nett Mr_. Desert_ap land_and Rich_ard Hill_re ton_. and_all bert_'s family_his Evi_dently Is_land self_'' perience_with Des_ert views_. for_your Kangaroo_Is mittee_. ard_Symonds ._Evi the_bestI mingham_'s Mr._Rich I_re ber_of nett_( Canadian_his in_retire your_self Jack_Gra Gra_bert Fullar_ton men_who ment_on re_views retire_ment Mick_Bir his_tory Desert_is bestI_known tory_. ing_around Nomenclature_Com peared_a ''_Mr shil_ling avenue_Fullar drum_in nos_ing is_absolutely ap_peared ling_lor inquisitive_mem ex_perience Simpson_Des kettle_drum been_nos mem_ber tory_links the_Menhen Com_mittee re_called a_shil In_gram Bir_mingham dently_this ert_lying the_kettle
3313,._O'Con Oval_Hn^De^f Salvemini_Wassell Cock_burn £/_? i_cap tain_I Inness_«12th 5_Vifthf°ne Burton_dan —_instead cap_tain Hudson_Hewitt Beitz_Salvemini ._Rose ™£_gast LaUbC-_Hyde RObiDS_Prospect O'Con_nell Vifthf°ne_W^hrVar^'111^011- Prospect_Oval burn_. B_GRADE this_sea Trowse_Beitz tomor_row dan_uache O'Leary_Cock toria_and Pavy_Bug laide_Oval U2th_! ThAodm^dHuTchBiSsWgewUtLBSekde_' ;_Vic Wassell_Kretschmer at_Ade GRADE_I'niversity Crai«_Cun Cun_ThAodm^dHuTchBiSsWgewUtLBSekde lardS0Q-_Hudson ._West lor_. Rose_vear gins_. Harrison_Beag Ade_laide ._Stephens Hewitt_% Stephens_Williams Vic_toria Mc_Inness Bug_gins Beag_£/ son_but W^hrVar^'111^011-_™£ sea_son Nel_son Williams_Taylor begin_tomor Hyde_B uache_. **0™-_RObiDS ._Nel nell_. Sanders_Tay vear_. Moroney_U2th ._Mc row_and instead_of Tay_lor son_.
3314,Die_In Horses_Die York_last
3315,for_the sort_and ._If ._Forestville or_gases and_seemed gases_of under_Forestville of_lights
3316,until_recently players—Will_Rowe ._Also again_on Frank_Bailey official_behavior Nazi_terror give_its Comforts_Fund the_Independent kntEJi_. Hall_. Jean_Marshall with_regard Desmond_White ._Bookings December_7 and_uniforms Pritchard_and personal_experience authentic_official has_taught well-known_are young_refuguee taught_the to_authentic Adelaide_players—Will behavior_salutes many_Adelaide the_cast White_Roma a_young the_fighting Rowe_Desmond other_players at_Cawthorne who_with Australia_Hall salutes_and George_MeCal of_the the_Australia in_the at_the the_other uniforms_. Bailey_George fighting_Forces Theatre_which cast_includes with_his Marshall_. It_is experience_of the_Nazi is_being Independent_Theatre his_personal Cawthorne_'s 7_and by_the Hotten_Frank which_will terror_has tbe_play MeCal_kntEJi Forces_Comforts Roma_Hotten recently_was cast_are and_again players_much many_well-known includes_Jim will_give to_the Vita_Pritchard refuguee_who Also_in regard_to play_are
3317,Australian_Associated blast_. being_blasted graph_at Associated_Press pressure_the ._`` ''_Sir disturbance_in 6-l0th_'s from_a ``_It bodies_being an_explosion in_the one_photo bomb_. explosion_`` findings_. top—in_the plane-a_reconstruction second_'' Italian_findings blasted_from photo_graph a_plane-a dummy_bodies of_what such_as pathologist_Dr. ''_He a_bomb the_top—in ``_such It_would happened_when reconstruction_of when_a at_6-l0th ._''
3318,Morcombe_( (_Norman Abbott_) Smith_( Dayman_( Solici_tor Crown_Solici Crown_Soli tor_) citor_Smith (_Abbott Thomson_( )_. Soli_citor Norman_) Solici_Morcombe
3319,were_notified yesterday_that notified_yesterday decision_they could_avoid Move_Against Hostel_Move hostels_had to_remain avoid_eviction
3320,?_q before_she ._Because various_States Adelaide_but opportunity_of a_few of_seeing to_hear displays_. but_sn established_a interesting_things hear_the The_institute on_current current_events window_displays Paul_Women sn_? q_before each_woman
3321,and_witnessed new_eight Fours_a boathouse_and for_the (_Mrs. training_for received_it the_season to_information recent_Olympics Cain_) 's_1936-7 housed_in season_opened boathouse_. Mr._Max it_compares Earl_by used_by night_in )_. witnessed_the H._Dunstan compares_favorably eight_which season_opening is_an the_Lady boat_is that_the 1936-7_season the_Lord 's_fleet craft_used Olympics_in Saturday_night view_the favorably_with )_declare Mrs._H. Mayor_Mr. fleet_. Mayoress_( 2.45_p.m. the_boathouse being_housed Dunstan_) the_craft is_being Deb_Earl p.m._A the_christening declare_the in_training Max_Fotheringham Mr._Cain information_received Crews_in opening_dance (_the patron_( Lady_Mayoress 's_Fours the_new
3322,ciety_'s Tailem_Bend Faye_elder mittee_at Engaged_The of_Faye com_mittee Hawkes_Engaged be_con con_cluded Brinkley_Tailem ._So Faye_Hawkes So_ciety cluded_with executive_com
3323,the_oppor Canada_Back they_shovelled With_3d no_money ._'At reliant_expense next_morning re_sembling oppor_tunity his_Torrens and_in to_qualify straight_out were_having men_'s MP_Mayor more_coal the_offseason have_crack was_on pairs_were cause_of off_shore grandson_of ville_home flag_they were_spirited looking_for re_ports secretary_to to_Canada to_Vancouver already_gone character_straight a_brick expense_. off_but but_they Vacant—_Firemen ex_periences and_typewriter at_more From_there ._Young brick_layer don_'s worked_in ._ing cutta_and six_years be_cause and_no wen_to to_see 3d_. shore_and coun_ries no_warm Back_in firing_before In_their Langdon_has periences_. book_of Thebarton_. He_got Aus_tralia a_fireman Canada_and a_fairy changed_course the_late ing_out ._an Suva_to watch_and has_returned which_he mile_off Firemen_wanted vised_him periences_in typewriter_and ._Enthralled Arthur_L. so_on world_wan mas_and Madagascar_where it—on_a I_stuck see_in ``_I chance_of sembling_one Torrens_ville A._Langdon ship_sailing fairy_ship more_respectable with_over French_were in_Aus Panaman_ian years_. news_re they_reached offseason_he ad_vised VOX_Robert to_Eng the_Sea saved_the coal_taken my_trou spend_three tunity_arose wan_derings boss_ad temporary_typist derings_covering cate_and a_nautical the_world fireman_'s pense_and and_day crew_'mutinied world_later anything_re week_. unloaded_sugar were_paid but_be more_pay Out_Among amazing_ex not_in off_and Christ_mas 13_hours Lang_don L._Langdon Merry_Christ ries_. typewriter_. Bob_Lang ex_pense the_boss trou_sers reached_Suva he_wen Panamanian_flag 'mutinied_' new_crew— join_the where_the ._From and_changed had_no awoke_next a_temporary at_it—on pay_and two_Englishmen crew—_12 before_and qualify_for Wairuna_bound self_reliant various_coun between_Cal started_and the_Wairuna mid_night ._THE crew_were seaworthiness_certifi Vancouver_in THE_war at_mid spokesman_. time_they engine_re girl_in in_he ._`` Norwegians_and in_six his_ex own_self Bolivia_Bob and_. typist_'s Langdon_had paid_off 's_job sers_; met_a pretty_fed night_; Robert_A. Sea_men re_pairs cided_to later_and to_spend ports_on and_entrained last_week Cal_cutta the_typewriter of_join sailing_immediately de_cided Englishmen_six were_pretty gone_. tralia_. and_a a_chance Eng_and ._In of_Thebarton certifi_cate the_princely layer_. miles_in 's_ex I_de time_. ian_steamer he_says a_Panaman respectable_and ambition_to over_time
3324,and_Mrs. win_ner hall_alone a_half in_three ner_with will_be three_and (_£58 to_of grandmother_competition (_£68 the_win of_the Hall_the which_will required_for and_a the_which night_realised competition_which half_years alone_. realised_£238 Aldgate_Memorial Mrs._Miller Memorial_Hall Pratt_( years_to the_hall be_required £58_)
3325,pre_sented ;_Eoo Thom_son to_Sad In_nings cultural_Bureau Ing_with two_wic with_com dry_wea Man_num a_heme Club_con minor_pre ton_had feated_Sprlngton linc_from house_holders munity_singing KAROONDA_Mrs. Rowe_reneral Eoo_lunga perty_of flour_dona been_trans «up_pcrtcd Gard_ner num_won Ing_in women_sup :_vice Birdwood_de Jen_kin ther_and appre_ciation days_at Members_of MONARTO_A riuo_? re_cently sented_the Sad_dleworth sub_scribers i-sh_and ner_ar.d holders_especially cently_after trans_ferred son_; re_turned :_secre de_feated sized_apples holi_days BELALIE_NORTH Institute_sub tended_to Kets_. when_play ford_. Arboo_pre sup_porters the_pro miers_. The_Agri wea_ther nings_. was_ex ?_«up !_n MANOORA_At Tre_zise with_under ._Wir ._MONARTO Craw_ford under_sized pre_miers a_ton ferred_to Btone_lelgh rtlla_. KARTE_Mr. made_supper CENTRES_ALAWOONA singing_. ._KARTE H_Rowe annual_holi ._LOXTON re_urned A._Thom borough_has MANNUM_The bave_re Allen_Btone zise_was play_Ing ._MANNUM rro_riuo ted_bv Piiliis_re ex_tended ford_It BRINKWORTH_The ciation_for ALAWOONA_Many R._Thom scribers_the tary_and son_will tour_oament pro_perty at_Peter of_appre G._Gard ._BALHANNAH ?_a pcrtcd_by sent_BRINKWORTH oament_was vice_president porters_. ducted_a reneral_committee H._Craw Saturday_Man BALHANNAH_Apple sec_tion Wir_rtlla seriously_af fected_by R_Jen LOXTON_An H._Cor T._Tre Karte_re wic_Kets and_Craw n_linc dleworth_' num_will —_Members Children_play ._MANOORA Pleasant_Man heme_made turned_to kin_. Peter_borough dona_ted con_ducted ._KAROONDA supplies.._BELALIE com_munity Agri_cultural lunga_8 af_fected tion_the Cor_i-sh tennts_sec urned_to lelgh_. '_tour first_In secre_tary dairy_rro
3326,;_Capt '_& ._gal tem_porarily ._Red the_dam ._Wind aged_freighter morning_which down_tem ;_Sir reddish-yel_low fierce_squalls £50_rain dis_trict berth_ing between_Terowie rainfall_. cades_. ;_rain a_& Governor_& ;_fall the_shoe Oodlawirra_is ;_A. trot_ting &_lt urday_morning trict_in that_the westoty_amies Or_cades ing_of collected_£50 ]_tug strictions_were box_Derby as_reddish-yel Wilmington_dis low_mud Oc_tober further_rain brought_further re_strictions inland_north ting_at gal_lons mud_. ._& night_trot property_in water_re {_& porarily_. ._MOlbrook the_Rowan bank_or dam_aged record_Oc lons_with Sat_urday north_westoty and_Oodlawirra liner_Or of_Sat The_berth Rowan_bank and_property tober_rainfall lt_; shoe_box 's_&
3327,for_farm ._ONE en_joyed regions_. farm_ing joyed_the Gawler_. pio_neered neered_several ing_in Millicent_district at_Gawler pastoral_regions Michael_Costello settlers_in Brady_en parents_late he_pio late_late Costello_took Costello_71 near_Millicent Millicent_with ONE_of the_Millicent
3328,hospital_In when_the young_woman ._Mit cham_early tlie_hospital a_young who_mis mis_took injured_when the_motor 21._of Hack_ham ham_was took_a of_Hack the_Brownhill Mit_cham Brownhill_Creek
3329,pre_sented tary_the beau_tiful suffered_badly Gowan_. LYRUP_For cutting_hay ._Prizes has_ta sta.Ied_an effec_tive two-hour_discus White_head few_weeks library_cup sented_w haU_; mit_and are_working discus_sion For_the some_beau board_& their_vines victory_din settlement_suffered A_compe cently_left Adam_son presrn'i-d_nosii\ar.d '_KLVGOONYA £17_16 The_sum prize_money heavy_as (_Renmark have_com the_sum Mrs._J In_augural a_fare Frankcom_. and_prosperous Morti_mer apricot_crop com_mittee tary_. re_cently are_Bliss iroin_Mur con_cert the_pub head_( ceived_and has_ceased ar_ranged badly_through mer_and M._Harri trans_ferred son_; ner_and licity_committee Tennis_Asso Long_mire .lami_. gene_ra the_settlement tain_and and_all S._Trena Tanta_noola cap_tain cussed_and tive_player ._fcrd Brrri_Hos man_: re_ported sea_'. ._LYRUP jiion_. Asso_ciation past_few fare_well M._.lami mittee_to ap_portioning Renmark_) —_Patron sident_i pub_licity A_Har com_prises Trena_man S_Thomp ford_oy a_i ported_. last_sea fund_by sta_tiOnS sum_of compe_tition dens_and :_audi Mig_haU tors_. reap_ing i_: pleted_building graphed_by M._Mig Prizes_for of_man prises_Mesdames of_£17 din_ner cert_was ferred_to :_a tiOnS_' Cloonan_Miss portioning_assessable F^der_jiion ftem/ghen1._' agement_of de_cision Patron_. working_and now_In be_extcn costumes_went queens_being sum_mit In_progress '_F^der ton_i -_Mc school_con nosii\ar.d_a Foley_( Beres_ford Hos_pital mission_sta of_Mrs. year_the Shear_ing sion_it com_pleted audi_tors sident_( ranged_bv H._Morti the_pre been_re D._Long year_. monthly_gene Pothering_hami ta_sta.Ied premier_ship son_W. ock_J. ing_oats Rhonda_Frankcom ._Man are_reap cision_. vines_and fcrd_Prr Mary_Pothering dis_cussed the_three dehyrdator_has Coun_cil Har_ris H._White The_In the_premier Kensington_Gar man_agement a_com ._Shear R_Beres evening_ar tiful_cuts prosperous_year augural_evening cil_had Thomp_son ship_of and_Mur three_queens son_. with_prize money_of tition_-Things ing_is )_and pital_held Bennett_( Williams_Barbara most_effec P._Brad crops_on last_year president_cap mire_E. Brad_ock (_Berri Gar_dens cup_board ra_meetings best_costumes ray_Bridge who_re ciation_delegates pre_sident ball_ar be_trans Bliss_cutting The_apricot ._LOCK presidency_of was_dis re_ceived '._? Park_dehyrdator of_ap extcn_ftem/ghen1. pirle_Coun from_Tanta being_Miss the_Moray Berri_) ray_Sharley as_last promise_to Mc_Gowan noola_. cereal_crops was_re was_pre hami_. by_this well_party Man_ton ris_( committee_com ;_secre Harri_son ranged_by '_Adam KLVGOONYA_A book_auto the_secre 's_de secre_tary Mur_ray auto_graphed
3330,Gerd_Harahd ended_with their_train being_lost Lincoln_yesterday Tooligie_for 18_hours found_to hours_. Harahd_Schrimpf train_left with_one lost_in day_by to_day left_Tooligie
3331,imine_navy Ham-_& daugh-_& sisted_by satin_accor ._On !_trlm &_lt WEDDING_. Mass_ai ;_* ai_sisted trlm_imine deon_pleated accor_deon HOGBEN—GRIFFIN_. lt_; ._HOGBEN—GRIFFIN
3332,lored_coat black_three-quarter Chapple_was cloth_tai Phoebe_Chapple tai_lored
3333,gig_drawn injured_was street_Croydon 16_yaras ._There May_married and_the yaras_. Constable_Hennig Croydon_also was_injured gig_16 Hennig_prosecuted the_gig a_gig Wednesday_October
3334,The_tower yesterday_. surrounding_balustrade job_he spokesman_said PMG_spokesman and_surrounding be_given Adelaide_GPO a_'face GPO_would balustrade_which ._Tenders tower_of 'face_lift given_a said_yesterday lift_'
3335,partments_has perience_in tended_a pointed_librarian meet_at ing_a Service_Associa to_discuss at_tended square_mem on_Tues ment_Service the_Govern ness_. fore_entering bers_of ap_pointed Associa_tion she_at curables_the MISS_K. with_ex be_fore tion_will meet_to ranged_an college_be several_de de_partments busi_ness Govern_ment Tues_day for_In 's_con afterwards_attend ex_perience APPOINTMENT_MISS important_busi day_at cert_tonight con_cert attend_ing In_curables mem_bers Stodart.has_ar been_ap ar_ranged
3336,de_molished tion_employes sta_tion Hospital_and molished_. was_de caught_fire clothes_caught service_sta and_admitted
3337,RHM._' turned_Servicemen War_II Re_-- carry_out attendance_offi II_. cer_Mr. Mr._Hart Lea_had )_. ;_liason ._Officers liason_officer offi_cer its_work Club_said out_its Annual_Meeting Officers_elected port_Mr. Mittan_; during_the offl_cer a._RHM. EXPENDITURE_Annual Mittan_said John_Martins L._Mittan cer_. in_forming Martins_dining meeting_in ._Service would_be catering_offl ._turned president_( the_Re last_night Hart_ley clubs_legatees rooms_last ministered_entirely the_clubs was_administered had_spent dining_rooms to_carry be_ad rendered_during ad_ministered re_port presidents_Messrs. sergeant-at-arms_. It_would Sutton_. ;_vice ley_Williams ;_sergeant-at-arms ?_Sutton 's_re vice_presidents time_in --_. annual_meeting
3338,;_Mr. t_& Ngallo_F^iher ;_T.ub Pinnaroo_United &_lt ;_-a s_& Jol-r._•• Spons_& ••_: :_& ;_-ur United_. B_Jol-r. I_Pinaroo.— Augu.s-a_WesTIn ;_. ;_ir.. Pinaroo.—_Pinnaroo WesTIn_tli 2m_. lt_; I_& 11ir_& d._Ngallo Mickon_2m
3339,he_was fracrured_wrist the_Adelaide 32._laborer bicycle_he riding_came into_colllision was_riding a_fracrured laborer_of at_the colllision_with
3340,would_practically practically_double School_which for_extending school_council space_for
3341,ture_race tionally_famous con_sistently several_Aus Mel_bourne the_fea fast_est ared_and feat_all yester_iay country_visi est_cars Park_yester iay_afternoon fea_ture 10_fast cars_. now_racing to_de the_fastest been_re bourne_. driving_the Aus_ralian Speed_vays with_ex re_ared visi_tors at_Row ex_citement completely_over opportu_nity interna_tionally ar_ranged unique_opportu the_SA-born vays_Sydney over_lauled nave_en Special_now and_cham Empire_Speed citement_and en_countered ranged_for yet_seen against_interna Peers_( ralian_records airline_pilot tors_with Row_ley nity_to in_Mel ley_Park car_is de_feat sistently_beaten lionships_as been_ar has_con countered_for is_one lauled_. cham_lionships pilot_Vern powerful_yet
3342,'s_Theatre c._surety yester_day ;_* Louis_McCub lar_■ ;_s.- Pearce_The £2_5/ |tai_'' t«_! Butler_of over_i had_pre Kir_bv ley_street ex_penditure ;_} stole_pro Charges_John registered_dentist An'.mian_. alsc_stated waterproof_over Barring_'iton office_en stated_that denture_Harry 'iton_said bin_to street_Crovdon good_be ;_oela haviour_for motor_bi ^^_ton ._This ''_^^ r_- and_have perty_of an_informs Perjury_Charge following_ex on_a ques_tioned iR_- i_vious i«_& prosectKins_& third_offence also_com yes_terday il_An'.mian said_and ''_& !_ceny terday_. en_velope costs_A :_Tro Prosecutor_Barring —Gradu*'r_& 'laul_: trial_in --_& lioc^_& ;_C Main_waring ''_—Fulkr Tro_ia ►_iviouslv ._Committed t._Cor atltr_□uoii com_mitted the_defen 32_years sup_pressed ;_& tioned_by a_witness don_. Nich_t« of_Spencer ._mMar -at_& ;_-- recommen_dation □uoii_as ._Rode Mor-_& i_coat bicycle_without —CradJo'cs—vr_' offence_. \-f-—r_& ;_hen :_aftfr the_recommen Hind_ley ;_printi ;_-i pros_& \vhii_& Pub_lic Charge_A and_therefore defen_dant ``_& the_defendants ._Nich Crovdon_fined F._Sux the_Pub ;_.nn Rode_bicycle set_a |_dered his_making ;_r.- ;_'' &_lt in_Hind Basfbal_! R._Main the_pre i_old HINDMMtSH_& Luther_Butler last_time Tii^_& fined_10/ not_pick r_& informs_tion ob_|tai lolioTil_Basfbal prosecu_turns was_sup in_persons yes-er-_& bi_cycle ceny_. velope_from or_| pro_perty a_certificate ii_& court_while ._—Gradu*'r as_a dation_of When_ques :_iR p.m_—CradJo'cs—vr 'J._& bv_Goll v_& work_Mr. the_12-year lt_; lic_Library ;_ctKrd 10/_. ;_\ Bond_prosecuted pressed_by pre_► bur_> aftfr_noon in_d«r ton_. without_havying ._costs pre_i d«r_'laul ;_Zc\'v pick_up noon_*f'2 bar.—Lloyd_Luther ;_-r. re_pair ;_**-.\ ?_peared :_-at Cor_don accountant_of -i_rent McCub_bin ;_l A.-_& havinc_ob ;_boy inri_-i ;_—Shepherd admitted_many ieiinklr_& for_lar 4_& waring_: SportsMatches_SportinK Riabouch_inska of_Riabouch swore_that Court_yes havying_a fta_& Hock_& This_is inska_. be_haviour ._& Week_SportsMatches -_! remarked_thought ia_: penditure_: these_prosecu ._Kir ■_! tomorrow_atltr ;_( was_or mMar_. 12-year_i Sux_bur !_&
3343,cor_poration the_war no_oil The_Avonmore !_`` had_with distri_buted was_associ Federal_Gov WE_still 50_per laide_'s the_cor charitable_insti Upton_his was_im most_inter tive_Fruit port_by with_George im_ported ob_tained ness_. i_Noted tutions_i In_cidentally sur_pnsed cer_tain insti_tutions ported_and cause_of his_uncle ing_how Beaumont_more in_Ade Cellars_In still_have promise_as ated_with to_cer port_struck bro_chure has_distri busi_ness for_magaFuHjNoon Ade_laide war_. surpris_ing ._In dumped_be fession_. oil_was a_bro Samuel_Daven poration_. ested_when terest_in ernment_asked Waikerie_Co-opera port_and inter_ested Daven_port is_surpris pnsed_to pro_fession tain_public cidentally_Sir chure_describing medical_pro is_50 he_ob was_sur sound_busi associ_ated In_a buted_about magaFuHjNoon_SURPRISING caused_in Co-opera_tive in_terest Gov_ernment tained_the be_cause
